Rooms,Price,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Propertycount,Type_h,Type_t,Type_u,RegN_Eastern Metropolitan,RegN_Eastern Victoria,RegN_Northern Metropolitan,RegN_Northern Victoria,RegN_South-Eastern Metropolitan,RegN_Southern Metropolitan,RegN_Western Metropolitan,RegN_Western Victoria
2,1315000.0,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,-37.808,144.994,4019.0,1,0,0,0,0,1,0,0,0,0,0
3,1447500.0,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,-37.8017,145.0001,4019.0,1,0,0,0,0,1,0,0,0,0,0
2,1135000.0,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,-37.8005,144.9952,4019.0,1,0,0,0,0,1,0,0,0,0,0
3,1290000.0,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,-37.8007,144.9958,4019.0,1,0,0,0,0,1,0,0,0,0,0
1,470000.0,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,-37.8055,144.9961,4019.0,0,0,1,0,0,1,0,0,0,0,0
2,1180000.0,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,-37.8016,144.9956,4019.0,1,0,0,0,0,1,0,0,0,0,0
3,1195000.0,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,-37.8022,144.9954,4019.0,1,0,0,0,0,1,0,0,0,0,0
2,1012500.0,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,-37.8021,144.9976,4019.0,1,0,0,0,0,1,0,0,0,0,0
2,1030000.0,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,-37.8086,144.9946,4019.0,1,0,0,0,0,1,0,0,0,0,0
3,840000.0,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,-37.718,144.878,3464.0,0,1,0,0,0,0,0,0,0,1,0
3,730000.0,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,-37.7203,144.8755,3464.0,1,0,0,0,0,0,0,0,0,1,0
3,770000.0,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,-37.7203,144.8755,3464.0,1,0,0,0,0,0,0,0,0,1,0
2,603000.0,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,-37.7294,144.888,3464.0,1,0,0,0,0,0,0,0,0,1,0
3,700000.0,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,-37.7218,144.8837,3464.0,0,1,0,0,0,0,0,0,0,1,0
3,600000.0,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,-37.7273,144.8744,3464.0,1,0,0,0,0,0,0,0,0,1,0
2,500000.0,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,-37.7215,144.8864,3464.0,0,0,1,0,0,0,0,0,0,1,0
6,725000.0,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,1980.0,-37.7239,144.8735,3464.0,1,0,0,0,0,0,0,0,0,1,0
2,450000.0,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,-37.7216,144.871,3464.0,0,1,0,0,0,0,0,0,0,1,0
2,515000.0,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,-37.7298,144.8883,3464.0,0,0,1,0,0,0,0,0,0,1,0
2,530000.0,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,-37.7234,144.8792,3464.0,0,0,1,0,0,0,0,0,0,1,0
3,895000.0,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,-37.7249,144.8728,3464.0,1,0,0,0,0,0,0,0,0,1,0
3,805000.0,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,-37.7217,144.8783,3464.0,1,0,0,0,0,0,0,0,0,1,0
3,752000.0,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,-37.7302,144.8855,3464.0,0,0,1,0,0,0,0,0,0,1,0
3,700000.0,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,-37.727,144.887,3464.0,0,1,0,0,0,0,0,0,0,1,0
3,830000.0,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,-37.7186,144.876,3464.0,1,0,0,0,0,0,0,0,0,1,0
2,675000.0,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,-37.7187,144.8765,3464.0,1,0,0,0,0,0,0,0,0,1,0
3,1042000.0,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,-37.7173,144.8796,3464.0,1,0,0,0,0,0,0,0,0,1,0
4,773000.0,13.5,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,-37.7263,144.8679,3464.0,1,0,0,0,0,0,0,0,0,1,0
3,810000.0,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,-37.7285,144.8694,3464.0,1,0,0,0,0,0,0,0,0,1,0
3,715000.0,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,-37.7164,144.8792,3464.0,1,0,0,0,0,0,0,0,0,1,0
3,540000.0,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,-37.7231,144.8802,3464.0,0,1,0,0,0,0,0,0,0,1,0
3,825000.0,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,-37.72,144.8776,3464.0,0,1,0,0,0,0,0,0,0,1,0
3,685000.0,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,-37.7226,144.8733,3464.0,1,0,0,0,0,0,0,0,0,1,0
4,900000.0,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,-37.7256,144.8739,3464.0,1,0,0,0,0,0,0,0,0,1,0
2,1275000.0,3.3,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,-37.8459,144.9555,3280.0,1,0,0,0,0,0,0,0,1,0,0
3,1850000.0,3.3,3206.0,3.0,2.0,0.0,128.0,133.0,1890.0,-37.8452,144.9488,3280.0,1,0,0,0,0,0,0,0,1,0,0
2,1436000.0,3.3,3206.0,2.0,1.0,0.0,130.0,81.0,1900.0,-37.8431,144.9565,3280.0,1,0,0,0,0,0,0,0,1,0,0
3,1800000.0,3.3,3206.0,3.0,2.0,1.0,132.0,159.0,1996.0,-37.8415,144.952,3280.0,1,0,0,0,0,0,0,0,1,0,0
3,1800000.0,3.3,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,-37.8421,144.9571,3280.0,1,0,0,0,0,0,0,0,1,0,0
3,1370000.0,3.3,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,-37.8451,144.9511,3280.0,1,0,0,0,0,0,0,0,1,0,0
2,1322500.0,3.3,3206.0,2.0,1.0,0.0,149.0,98.0,1890.0,-37.8443,144.9481,3280.0,1,0,0,0,0,0,0,0,1,0,0
2,1562500.0,3.3,3206.0,2.0,1.0,0.0,141.0,83.0,1890.0,-37.8424,144.9562,3280.0,1,0,0,0,0,0,0,0,1,0,0
3,2000000.0,3.3,3206.0,3.0,2.0,1.0,211.0,147.0,1900.0,-37.847,144.9575,3280.0,1,0,0,0,0,0,0,0,1,0,0
3,2100000.0,3.3,3206.0,2.0,1.0,1.0,120.0,123.0,1900.0,-37.8427,144.9546,3280.0,1,0,0,0,0,0,0,0,1,0,0
3,2000000.0,3.3,3206.0,3.0,1.0,1.0,238.0,131.0,1890.0,-37.8461,144.9528,3280.0,1,0,0,0,0,0,0,0,1,0,0
1,442500.0,3.3,3206.0,1.0,1.0,0.0,0.0,34.0,1970.0,-37.8421,144.9517,3280.0,0,0,1,0,0,0,0,0,1,0,0
2,980000.0,3.3,3206.0,2.0,1.0,0.0,79.0,68.0,1890.0,-37.8387,144.9519,3280.0,1,0,0,0,0,0,0,0,1,0,0
3,1740000.0,3.3,3206.0,3.0,2.0,2.0,147.0,134.0,1890.0,-37.8448,144.9453,3280.0,1,0,0,0,0,0,0,0,1,0,0
1,985000.0,3.3,3206.0,1.0,1.0,0.0,81.0,54.0,1900.0,-37.8411,144.9497,3280.0,1,0,0,0,0,0,0,0,1,0,0
4,2000000.0,6.4,3078.0,3.0,2.0,4.0,853.0,263.0,1930.0,-37.7707,145.0318,2211.0,1,0,0,0,0,1,0,0,0,0,0
4,1717500.0,6.4,3078.0,4.0,2.0,1.0,599.0,203.0,1925.0,-37.7717,145.031,2211.0,1,0,0,0,0,1,0,0,0,0,0
2,525500.0,6.4,3078.0,2.0,1.0,1.0,88.0,60.0,1960.0,-37.7791,145.0306,2211.0,0,0,1,0,0,1,0,0,0,0,0
2,805000.0,6.4,3078.0,2.0,2.0,3.0,155.0,140.0,2004.0,-37.7804,145.0308,2211.0,0,1,0,0,0,1,0,0,0,0,0
4,1830000.0,6.4,3078.0,4.0,2.0,2.0,606.0,112.0,1970.0,-37.7743,145.0316,2211.0,1,0,0,0,0,1,0,0,0,0,0
4,2100000.0,6.4,3078.0,4.0,2.0,2.0,575.0,271.0,2008.0,-37.7723,145.0319,2211.0,1,0,0,0,0,1,0,0,0,0,0
3,865000.0,6.4,3078.0,3.0,1.0,1.0,180.0,131.0,2010.0,-37.7802,145.0243,2211.0,1,0,0,0,0,1,0,0,0,0,0
2,390000.0,6.4,3078.0,2.0,1.0,1.0,0.0,60.0,1960.0,-37.7773,145.0314,2211.0,0,0,1,0,0,1,0,0,0,0,0
2,512000.0,6.4,3078.0,2.0,1.0,1.0,0.0,61.0,1965.0,-37.7805,145.0262,2211.0,0,0,1,0,0,1,0,0,0,0,0
4,1900000.0,6.4,3078.0,4.0,2.0,2.0,556.0,272.0,1930.0,-37.7844,145.0225,2211.0,1,0,0,0,0,1,0,0,0,0,0
4,1950000.0,6.4,3078.0,4.0,2.0,3.0,589.0,210.0,1920.0,-37.7719,145.0309,2211.0,1,0,0,0,0,1,0,0,0,0,0
3,520000.0,13.8,3018.0,3.0,2.0,1.0,352.0,242.0,2015.0,-37.87,144.825,5301.0,1,0,0,0,0,0,0,0,0,1,0
5,1525000.0,13.8,3018.0,5.0,3.0,3.0,729.0,268.0,2005.0,-37.8721,144.8105,5301.0,1,0,0,0,0,0,0,0,0,1,0
2,720000.0,13.8,3018.0,2.0,1.0,2.0,292.0,125.0,2013.0,-37.8687,144.8197,5301.0,0,1,0,0,0,0,0,0,0,1,0
3,1120000.0,13.8,3018.0,3.0,1.0,2.0,506.0,120.0,1930.0,-37.8693,144.8375,5301.0,1,0,0,0,0,0,0,0,0,1,0
4,1780000.0,13.8,3018.0,4.0,3.0,6.0,1057.0,220.0,1962.0,-37.8681,144.819,5301.0,1,0,0,0,0,0,0,0,0,1,0
3,630000.0,13.8,3018.0,2.0,1.0,2.0,311.0,94.0,1955.0,-37.8702,144.8143,5301.0,0,0,1,0,0,0,0,0,0,1,0
3,660000.0,13.8,3018.0,3.0,1.0,1.0,602.0,123.0,1955.0,-37.8616,144.8116,5301.0,1,0,0,0,0,0,0,0,0,1,0
2,580000.0,13.8,3018.0,2.0,1.0,1.0,225.0,93.0,1988.0,-37.8696,144.827,5301.0,0,0,1,0,0,0,0,0,0,1,0
3,1335000.0,13.8,3018.0,3.0,1.0,4.0,777.0,22.0,1953.0,-37.8697,144.8249,5301.0,1,0,0,0,0,0,0,0,0,1,0
2,510000.0,13.8,3018.0,2.0,1.0,1.0,127.0,76.0,1990.0,-37.8686,144.8182,5301.0,0,0,1,0,0,0,0,0,0,1,0
2,425000.0,13.8,3018.0,2.0,1.0,2.0,115.0,57.0,1980.0,-37.871,144.8185,5301.0,0,0,1,0,0,0,0,0,0,1,0
2,391000.0,13.8,3018.0,2.0,1.0,1.0,0.0,65.0,1965.0,-37.8678,144.8384,5301.0,0,0,1,0,0,0,0,0,0,1,0
4,845000.0,13.8,3018.0,4.0,1.0,2.0,745.0,130.0,1950.0,-37.8658,144.8155,5301.0,1,0,0,0,0,0,0,0,0,1,0
3,730000.0,13.8,3018.0,3.0,2.0,1.0,69.0,141.0,2014.0,-37.868,144.8286,5301.0,0,0,1,0,0,0,0,0,0,1,0
2,447000.0,13.8,3018.0,2.0,1.0,1.0,137.0,77.0,1990.0,-37.8655,144.8299,5301.0,0,0,1,0,0,0,0,0,0,1,0
3,678000.0,13.8,3018.0,3.0,1.0,2.0,606.0,87.0,1950.0,-37.8608,144.8124,5301.0,1,0,0,0,0,0,0,0,0,1,0
2,580000.0,13.8,3018.0,2.0,2.0,1.0,175.0,76.0,2013.0,-37.8687,144.8268,5301.0,0,0,1,0,0,0,0,0,0,1,0
3,840000.0,13.8,3018.0,3.0,2.0,2.0,534.0,136.0,1965.0,-37.86,144.8245,5301.0,1,0,0,0,0,0,0,0,0,1,0
3,577000.0,13.8,3018.0,3.0,2.0,1.0,205.0,113.0,2007.0,-37.8684,144.815,5301.0,0,0,1,0,0,0,0,0,0,1,0
2,857000.0,13.8,3018.0,2.0,2.0,1.0,675.0,100.0,1950.0,-37.8653,144.8129,5301.0,1,0,0,0,0,0,0,0,0,1,0
3,730000.0,13.8,3018.0,3.0,2.0,1.0,70.0,3.0,2014.0,-37.868,144.8285,5301.0,0,0,1,0,0,0,0,0,0,1,0
2,535600.0,13.8,3018.0,2.0,1.0,1.0,154.0,91.0,1996.0,-37.8646,144.8272,5301.0,1,0,0,0,0,0,0,0,0,1,0
5,1085000.0,11.1,3025.0,5.0,3.0,6.0,592.0,251.0,1965.0,-37.8388,144.8567,5132.0,1,0,0,0,0,0,0,0,0,1,0
3,781000.0,11.1,3025.0,3.0,1.0,2.0,533.0,117.0,1970.0,-37.8291,144.835,5132.0,1,0,0,0,0,0,0,0,0,1,0
2,421000.0,11.1,3025.0,2.0,1.0,1.0,77.0,77.0,2009.0,-37.8351,144.8529,5132.0,0,1,0,0,0,0,0,0,0,1,0
3,683000.0,11.1,3025.0,3.0,1.0,2.0,534.0,167.0,1967.0,-37.8284,144.8355,5132.0,1,0,0,0,0,0,0,0,0,1,0
3,720000.0,11.1,3025.0,3.0,2.0,1.0,0.0,130.0,2012.0,-37.8379,144.8583,5132.0,1,0,0,0,0,0,0,0,0,1,0
3,588000.0,11.1,3025.0,3.0,1.0,1.0,328.0,118.0,1970.0,-37.838,144.8555,5132.0,1,0,0,0,0,0,0,0,0,1,0
3,710000.0,11.1,3025.0,3.0,1.0,3.0,540.0,116.0,1960.0,-37.8294,144.8378,5132.0,1,0,0,0,0,0,0,0,0,1,0
4,875000.0,11.1,3025.0,3.0,1.0,4.0,559.0,169.0,1965.0,-37.8448,144.8529,5132.0,1,0,0,0,0,0,0,0,0,1,0
3,675000.0,11.1,3025.0,3.0,2.0,2.0,171.0,109.0,2012.0,-37.8337,144.8554,5132.0,1,0,0,0,0,0,0,0,0,1,0
3,708000.0,11.1,3025.0,3.0,1.0,2.0,585.0,97.0,1960.0,-37.8258,144.8523,5132.0,1,0,0,0,0,0,0,0,0,1,0
4,693000.0,11.1,3025.0,4.0,2.0,4.0,315.0,170.0,2008.0,-37.8391,144.8467,5132.0,1,0,0,0,0,0,0,0,0,1,0
3,620000.0,11.1,3025.0,5.0,2.0,2.0,276.0,100.0,2010.0,-37.8262,144.8443,5132.0,1,0,0,0,0,0,0,0,0,1,0
3,728500.0,11.1,3025.0,3.0,1.0,1.0,531.0,157.0,1960.0,-37.8277,144.8385,5132.0,1,0,0,0,0,0,0,0,0,1,0
3,931000.0,11.1,3025.0,3.0,2.0,1.0,590.0,160.0,1950.0,-37.8382,144.8649,5132.0,1,0,0,0,0,0,0,0,0,1,0
3,815000.0,11.1,3025.0,3.0,2.0,3.0,555.0,130.0,1960.0,-37.8318,144.8388,5132.0,1,0,0,0,0,0,0,0,0,1,0
4,1200000.0,11.1,3025.0,4.0,1.0,4.0,633.0,158.0,1960.0,-37.8375,144.8541,5132.0,1,0,0,0,0,0,0,0,0,1,0
2,292000.0,11.1,3025.0,2.0,1.0,1.0,153.0,70.0,1970.0,-37.8332,144.8649,5132.0,0,0,1,0,0,0,0,0,0,1,0
2,599000.0,6.3,3143.0,2.0,1.0,1.0,0.0,76.0,1964.0,-37.8543,145.0262,4836.0,0,0,1,0,0,0,0,0,1,0,0
3,995000.0,6.3,3143.0,3.0,2.0,2.0,0.0,100.0,1998.0,-37.8552,145.016,4836.0,0,0,1,0,0,0,0,0,1,0,0
3,1205000.0,6.3,3143.0,3.0,2.0,2.0,101.0,105.0,2000.0,-37.854,145.0135,4836.0,0,1,0,0,0,0,0,0,1,0,0
3,1939000.0,6.3,3143.0,3.0,2.0,2.0,296.0,150.0,1889.0,-37.8614,145.0274,4836.0,1,0,0,0,0,0,0,0,1,0,0
3,1870000.0,6.3,3143.0,3.0,1.0,1.0,217.0,116.0,1888.0,-37.8592,145.0182,4836.0,1,0,0,0,0,0,0,0,1,0,0
3,1918000.0,6.3,3143.0,3.0,2.0,2.0,0.0,165.0,1995.0,-37.8537,145.0267,4836.0,0,1,0,0,0,0,0,0,1,0,0
3,2050000.0,6.3,3143.0,3.0,2.0,1.0,205.0,116.0,1910.0,-37.8574,145.0281,4836.0,1,0,0,0,0,0,0,0,1,0,0
1,1435000.0,6.3,3143.0,2.0,2.0,1.0,144.0,107.0,1900.0,-37.8564,145.0228,4836.0,1,0,0,0,0,0,0,0,1,0,0
1,280000.0,6.3,3143.0,1.0,1.0,1.0,0.0,38.0,1975.0,-37.8619,145.0185,4836.0,0,0,1,0,0,0,0,0,1,0,0
2,592500.0,6.3,3143.0,2.0,1.0,1.0,0.0,73.0,1970.0,-37.8574,145.0174,4836.0,0,0,1,0,0,0,0,0,1,0,0
2,1210000.0,6.3,3143.0,2.0,1.0,0.0,249.0,96.0,1910.0,-37.8543,145.016,4836.0,1,0,0,0,0,0,0,0,1,0,0
3,1800000.0,6.3,3143.0,3.0,2.0,2.0,405.0,121.0,1910.0,-37.8545,145.0145,4836.0,1,0,0,0,0,0,0,0,1,0,0
1,440000.0,6.3,3143.0,1.0,1.0,1.0,0.0,53.0,1970.0,-37.8531,145.0115,4836.0,0,0,1,0,0,0,0,0,1,0,0
3,1300000.0,6.3,3143.0,2.0,1.0,2.0,212.0,106.0,1900.0,-37.8542,145.0149,4836.0,1,0,0,0,0,0,0,0,1,0,0
2,704000.0,6.3,3143.0,2.0,1.0,1.0,0.0,74.0,1969.0,-37.8573,145.0186,4836.0,0,0,1,0,0,0,0,0,1,0,0
2,620000.0,6.3,3143.0,3.0,1.0,1.0,0.0,98.0,1970.0,-37.8596,145.0198,4836.0,0,0,1,0,0,0,0,0,1,0,0
3,1900000.0,6.3,3143.0,3.0,1.0,2.0,328.0,108.0,1900.0,-37.8559,145.0158,4836.0,1,0,0,0,0,0,0,0,1,0,0
2,598000.0,6.3,3143.0,2.0,1.0,1.0,0.0,88.0,1970.0,-37.8593,145.0156,4836.0,0,0,1,0,0,0,0,0,1,0,0
3,1285000.0,6.3,3143.0,3.0,1.0,2.0,186.0,80.0,1920.0,-37.8554,145.0173,4836.0,1,0,0,0,0,0,0,0,1,0,0
2,520000.0,6.3,3143.0,1.0,1.0,1.0,0.0,76.0,1970.0,-37.8618,145.0183,4836.0,0,0,1,0,0,0,0,0,1,0,0
3,1101000.0,6.3,3143.0,3.0,1.0,2.0,103.0,3.0,2000.0,-37.8542,145.0135,4836.0,0,1,0,0,0,0,0,0,1,0,0
3,869000.0,6.3,3143.0,2.0,1.0,1.0,0.0,91.0,1940.0,-37.853,145.0264,4836.0,0,0,1,0,0,0,0,0,1,0,0
1,567000.0,6.3,3143.0,1.0,1.0,1.0,0.0,53.0,2013.0,-37.8549,145.0113,4836.0,0,0,1,0,0,0,0,0,1,0,0
3,940000.0,5.9,3032.0,3.0,1.0,2.0,298.0,108.0,1920.0,-37.7777,144.9195,6567.0,1,0,0,0,0,0,0,0,0,1,0
2,467000.0,5.9,3032.0,2.0,1.0,1.0,0.0,62.0,1980.0,-37.7761,144.9201,6567.0,0,0,1,0,0,0,0,0,0,1,0
3,1380000.0,5.9,3032.0,3.0,2.0,2.0,277.0,174.0,1910.0,-37.7777,144.9221,6567.0,1,0,0,0,0,0,0,0,0,1,0
2,490000.0,5.9,3032.0,2.0,1.0,1.0,423.0,62.0,1970.0,-37.7736,144.9015,6567.0,0,0,1,0,0,0,0,0,0,1,0
4,1850000.0,5.9,3032.0,4.0,3.0,1.0,478.0,270.0,1900.0,-37.7729,144.9179,6567.0,1,0,0,0,0,0,0,0,0,1,0
3,971000.0,5.9,3032.0,3.0,2.0,2.0,285.0,128.0,1900.0,-37.775,144.9091,6567.0,1,0,0,0,0,0,0,0,0,1,0
2,710000.0,5.9,3032.0,2.0,1.0,1.0,214.0,77.0,1890.0,-37.7776,144.9142,6567.0,1,0,0,0,0,0,0,0,0,1,0
2,750000.0,5.9,3032.0,2.0,1.0,1.0,226.0,92.0,1920.0,-37.7745,144.9093,6567.0,1,0,0,0,0,0,0,0,0,1,0
2,1053000.0,5.9,3032.0,2.0,1.0,1.0,269.0,109.0,1900.0,-37.7748,144.929,6567.0,1,0,0,0,0,0,0,0,0,1,0
3,1377000.0,5.9,3032.0,3.0,1.0,1.0,417.0,168.0,1900.0,-37.7756,144.9208,6567.0,1,0,0,0,0,0,0,0,0,1,0
3,970000.0,5.9,3032.0,3.0,1.0,2.0,350.0,125.0,1904.0,-37.7759,144.91,6567.0,1,0,0,0,0,0,0,0,0,1,0
2,751000.0,5.9,3032.0,2.0,1.0,1.0,118.0,79.0,1890.0,-37.7807,144.9288,6567.0,1,0,0,0,0,0,0,0,0,1,0
2,950000.0,5.9,3032.0,2.0,1.0,1.0,173.0,102.0,1900.0,-37.7731,144.9206,6567.0,1,0,0,0,0,0,0,0,0,1,0
2,685000.0,5.9,3032.0,2.0,1.0,2.0,228.0,90.0,1995.0,-37.7718,144.9066,6567.0,0,0,1,0,0,0,0,0,0,1,0
3,1230000.0,5.9,3032.0,4.0,1.0,2.0,594.0,148.0,1960.0,-37.7819,144.9064,6567.0,1,0,0,0,0,0,0,0,0,1,0
2,770000.0,5.9,3032.0,2.0,1.0,1.0,226.0,87.0,1900.0,-37.7774,144.9186,6567.0,1,0,0,0,0,0,0,0,0,1,0
4,890000.0,5.9,3032.0,4.0,1.0,1.0,300.0,185.0,1890.0,-37.7766,144.9143,6567.0,1,0,0,0,0,0,0,0,0,1,0
3,1440000.0,5.9,3032.0,3.0,1.0,1.0,487.0,131.0,1900.0,-37.7725,144.9146,6567.0,1,0,0,0,0,0,0,0,0,1,0
3,1000000.0,5.9,3032.0,3.0,2.0,2.0,440.0,120.0,1955.0,-37.7746,144.9031,6567.0,1,0,0,0,0,0,0,0,0,1,0
3,1435000.0,5.9,3032.0,3.0,2.0,2.0,532.0,147.0,1950.0,-37.7737,144.904,6567.0,1,0,0,0,0,0,0,0,0,1,0
1,390000.0,5.9,3032.0,1.0,1.0,1.0,0.0,58.0,1972.0,-37.7723,144.9094,6567.0,0,0,1,0,0,0,0,0,0,1,0
3,1425000.0,5.9,3032.0,3.0,2.0,2.0,495.0,139.0,1920.0,-37.7821,144.9055,6567.0,1,0,0,0,0,0,0,0,0,1,0
4,1340000.0,5.9,3032.0,3.0,2.0,2.0,683.0,232.0,1978.0,-37.775,144.93200000000004,6567.0,1,0,0,0,0,0,0,0,0,1,0
3,955000.0,5.9,3032.0,3.0,1.0,1.0,263.0,117.0,1910.0,-37.7753,144.9116,6567.0,1,0,0,0,0,0,0,0,0,1,0
4,1100000.0,5.9,3032.0,4.0,2.0,5.0,559.0,195.0,1920.0,-37.7791,144.9136,6567.0,1,0,0,0,0,0,0,0,0,1,0
2,432000.0,5.9,3032.0,2.0,1.0,1.0,0.0,62.0,1978.0,-37.773,144.9303,6567.0,0,0,1,0,0,0,0,0,0,1,0
4,1640000.0,5.9,3032.0,4.0,3.0,2.0,562.0,204.0,1890.0,-37.782,144.903,6567.0,1,0,0,0,0,0,0,0,0,1,0
6,1430000.0,5.9,3032.0,4.0,2.0,1.0,461.0,286.0,1900.0,-37.78,144.9295,6567.0,1,0,0,0,0,0,0,0,0,1,0
2,610000.0,5.9,3032.0,2.0,1.0,1.0,301.0,104.0,1995.0,-37.7791,144.914,6567.0,0,0,1,0,0,0,0,0,0,1,0
3,940000.0,5.9,3032.0,3.0,3.0,1.0,491.0,127.0,1950.0,-37.7727,144.9136,6567.0,1,0,0,0,0,0,0,0,0,1,0
3,890000.0,5.9,3032.0,3.0,1.0,1.0,242.0,110.0,1920.0,-37.7765,144.9114,6567.0,1,0,0,0,0,0,0,0,0,1,0
3,1180000.0,5.9,3032.0,3.0,2.0,2.0,617.0,149.0,1930.0,-37.7742,144.906,6567.0,1,0,0,0,0,0,0,0,0,1,0
4,1480000.0,5.9,3032.0,4.0,2.0,2.0,597.0,180.0,1939.0,-37.7757,144.9088,6567.0,1,0,0,0,0,0,0,0,0,1,0
2,865000.0,5.9,3032.0,2.0,2.0,1.0,146.0,132.0,2015.0,-37.7713,144.9038,6567.0,0,1,0,0,0,0,0,0,0,1,0
